SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL
"Milestone 3 WriteUp Due","11/14/2010 12:00 AM","11/15/2010 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-3">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 3 WriteUp Due","11/16/2010 12:00 AM","11/17/2010 12:00 AM","","Milestone 3 WriteupDue <a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-3">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Gathering Requirements","08/31/2011 12:00 AM","09/01/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Gathering-Requirements">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Project Pitches","09/05/2011 12:00 AM","09/06/2011 12:00 AM","","Project Pitch Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/project-pitches">[requirements]</a>","","","",""
"Interviewing","09/12/2011 12:00 AM","09/13/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Interviewing">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Organizing Information","09/14/2011 12:00 AM","09/15/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Organizing-Information">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Task Centered Design","09/19/2011 12:00 AM","09/20/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Task-Centered-Design">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Initial Design","09/21/2011 12:00 AM","09/22/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Initial-Design">[readings]</a>  <ahref="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 1 WriteUp Due","09/26/2011 12:00 AM","09/27/2011 12:00 AM","","Milestone 1 WriteUp and Team Member Ratings Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 1 WriteUp Due","09/28/2011 12:00 AM","09/29/2011 12:00 AM","","Milestone 1 WriteUp Due<a href="https://sites.google.com/site/washingtonuniversityhcicse556/milestone-1">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Paper Prototyping","10/03/2011 12:00 AM","10/04/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Paper-Prototyping">[readings]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"User Testing 101","10/05/2011 12:00 AM","10/06/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-User-Testing-101">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Programming Systems in HCI","10/10/2011 12:00 AM","10/11/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Programming-Systems-in-HCI">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
"Milestone 2 Writeup Due","10/17/2011 12:00 AM","10/18/2011 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Milestone 2 Writeup Due","10/19/2011 12:00 AM","10/20/2011 12:00 AM","","Milestone 2 WriteUp Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/assignments/milestone">[requirements]</a> <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-team-member-ratings">[team member ratings]</a>","","","",""
"Visual Design","10/24/2011 12:00 AM","10/25/2011 12:00 AM","","Reading Summary Due <a href="https://sites.google.com/site/washingtonuniversityhcicse556/readings-1#TOC-Visual-Design">[readings]</a>  <a href="https://sites.google.com/site/washingtonuniversityhcicse556/submit-a-reading-summary">[submit summary]</a>","","","",""
